CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
Audit Scotland,Audit Scotland,,
Auditory Processing Disorder in the UK,Auditory Processing Disorder in the UK,,
Augustana College,Augustana College,,
AuntMinnie.com,AuntMinnie.com,,
"Auris Nasus Larynx, Elsevier.",Elsevier,Auris Nasus Larynx,
Australasian College of Dermatologists,Australasian College of Dermatologists,,
Australasian Journal of Information Systems,Australian Computer Society Inc,Australasian Journal of Information Systems,
Australasian Journal on Ageing,Wiley-Blackwell,Australasian Journal on Ageing,
Australasian Medical Publishing Company,Australasian Medical Publishing Company,,
Australasian Paediatric Endocrine Group (APEG),Australasian Paediatric Endocrine Group (APEG),,
Australia and New Zealand Health Policy,BioMed Central,Australia and New Zealand Health Policy,
Australia and New Zealand Journal of Surgery,Wiley-Blackwell,Australian and New Zealand Journal of Surgery,
Australian & New Zealand College of Anaesthetists,Australian and New Zealand College of Anaesthetists,,
Australian and New Zealand Journal of Psychiatry,Wiley-Blackwell,Australian and New Zealand Journal of Psychiatry,
Australian and New Zealand Journal of Public Health,Wiley-Blackwell,Australian and New Zealand Journal of Public Health,
Australian Confederation of Paediatric & Child Health Nurses,Australian Confederation of Paediatric and Child Health Nurses,,
Australian Dental Journal,Australian Dental Association,Australian Dental Journal,
The Australian Early Intervention Network for Mental Health in Young People,Australian Early Intervention Network for Mental Health in Young People,,
Australian Family Physician,Royal Australian College of General Practitioners,Australian Family Physician,
Australian Government Department of Health and Ageing,Australian Government Department of Health and Ageing,,
Australian Government National Health and Medical Research Council,Australian Government National Health and Medical Research Council,,
Australian Health Review,CSIRO Pub,Australian Health Review,
Australian Institute of Health and Welfare,Australian Institute of Health and Welfare,,
Australian Institute of Health Policy Studies,Australian Institute of Health Policy Studies,,
Australian Journal of Physiotherapy,Australian Physiotherapy Association,Australian Journal of Physiotherapy,
Australian Journal of Public Administration,Wiley-Blackwell,Australian Journal of Public Administration,
Australian Medical Association,Australian Medical Association,,
Australian Primary Health Care Research Institute,Australian Primary Health Care Research Institute,,
Australian Resource Centre for Healthcare Innovations,Australian Resource Centre for Healthcare Innovations,,
Australian Safety and Efficacy Register of New Interventional Procedures (ASERNIP),Australian Safety and Efficacy Register of New Interventional Procedures (ASERNIP),,
Australian Safety and Efficacy Register of New Interventional Procedures -Surgical (ASERNIP-S),Australian Safety and Efficacy Register of New Interventional Procedures -Surgical (ASERNIP-S),,
Australian Vocational Education and Training Research Associations,Australian Vocational Education and Training Research Associations,,
Autism Alliance UK,Autism Alliance UK,,
Autism Connect,Autism Connect,,
Autoimmunity reviews,Elsevier,Autoimmunity Reviews,
Avances en Psicologia Latinoamericana,"Facultad de Medicina, Universidad del Rosario",Avances en Psicologia Latinoamericana,
Avril Nicoll,Speechmag,Speech & Language Therapy in Practice,
Axa PPP Healthcare Administration Services Limited,Axa PPP Healthcare Administration Services Limited,,
"BADPIG, British Association of Dermatologists (BAD)",British Association of Dermatologists (BAD),,
Baiocchi G,,,1
Balance Training,Balance Training,,
Balanced Scorecard Institute,Balanced Scorecard Institute,,
Bandolier,Bandolier,,
Barnardos,Barnardos,,
"Bartleby.com, Yahoo! Inc",Bartleby.com,,
Barts and the London NHS Trust,Barts and the London NHS Trust,,
Basque Office for Health Technology Assessment,Basque Office for Health Technology Assessment,,
Baylor College of Medicine,Baylor College of Medicine,,
Bazian,Bazian,,
BBC News,,,1
BC Becker,Decker Publishing Inc,,
BC Decker,Decker Publishing Inc,,
B-eat,B-eat,,
Begell House,Begell House,,
"Behavior Modification, Sage",Sage Publications,Behavior Modification,
B-ENT,"Royal Belgian Society for Ear, Nose, Throat, Head and Neck Surgery",B-ENT,
Bentham Science Publishers,Bentham Science Publishers,,
Bereavement Advice Centre,Bereavement Advice Centre,,
Berkeley Electronic Press,Berkeley Electronic Press,,
Berkshire East PCT,Berkshire East PCT,,
Best of Both Worlds Foundation,Best of Both Worlds Foundation,,
"Best Practice & Research, Clinical Rheumatology",Elsevier,Best Practice & Research: Clinical Rheumatology,
BestBETs,BestBETs,,
"BestTreatments, BMJ Publishing Group",BMJ Group,BMJ BestTreatments,
Better Outcomes,,,1
Better Regulation Task Force,Better Regulation Task Force,,
Big Lottery Fund,Big Lottery Fund,,
Biohealthmatics.com,Biohealthmatics.com,,
Biological Psychiatry,Elsevier,Biological Psychiatry,
Biological Psychology,Elsevier,Biological Psychology,
Biologics,Elsevier,Biologics,
Biology of Blood and Marrow Transplantation,Carden Jennings Publishing,Biology of Blood and Marrow Transplantation,
BIOME,BIOME,,
BioMed Central,BioMed Central,,
BioPortfolio,BioPortfolio,,
BioSpace,BioSpace,,
Birmingham Children and Young People's Board,Brighter Futures: Children's Services in Birmingham,,
Birmingham Women's Hospital,Birmingham Women's NHS Foundation Trust,,
Birth Defects Foundation,Birth Defects Foundation,,
BizMechanix,BizMechanix,,
Black Health Agency,Black Health Agency,,
"Blackpool, Fylde and Wyre Hospitals NHS Trust","Blackpool, Fylde and Wyre Hospitals NHS Trust",,
Blackwell Publishing,Wiley-Blackwell,,
Blackwell Publishing on behalf of British Dietetic Association,Wiley-Blackwell,,
Blackwell Science,Wiley-Blackwell,,
Bladder and Bowel Foundation,Bladder and Bowel Foundation,,
The Bladder and Bowel Foundation,Bladder and Bowel Foundation,,
BLISS - The Premature Baby Charity,BLISS - The Premature Baby Charity,,
Blood,American Society of Hematology,Blood,
Blood Pressure Association,Blood Pressure Association,,
Bloor Research,Bloor Research,,
Blue Cross Blue Shield Association,Blue Cross Blue Shield Association,,
BMC Complementary and Alternative Medicine,BioMed Central,BMC Complementary and Alternative Medicine,
BMC Family Practice,BioMed Central,BMC Family Practice,
BMC Genetics,BioMed Central,BMC Genetics,
BMC Geriatrics,BioMed Central,BMC Geriatrics,
BMC Health Services Research,BioMed Central,BMC Health Services Research,
BMC Medical Education,BioMed Central,BMC Medical Education,
BMC Medical Genetics,BioMed Central,BMC Medical Genetics,
BMC Medical Informatics and Decision Making,BioMed Central,BMC Medical Informatics and Decision Making,
BMC Medical Research Methodology,BioMed Central,BMC Medical Research Methodology,
BMC Medicine,BioMed Central,BMC Medicine,
BMC Musculoskeletal Disorders,BioMed Central,BMC Musculoskeletal Disorders,
BMC Nephrology,BioMed Central,BMC Nephrology,
BMC Ophthalmology,BioMed Central,BMC Ophthalmology,
BMC Palliative Care,BioMed Central,BMC Palliative Care,
BMC Pregnancy and Childbirth,BioMed Central,BMC Pregnancy and Childbirth,
BMC Psychiatry,BioMed Central,BMC Psychiatry,
BMC Public Health,BioMed Central,BMC Public Health,
BMC Research Notes,BioMed Central,BMC Research Notes,
BME Health Forum,BME Health Forum,,
BMJ (BMJ Publishing Group),BMJ Group,BMJ,
BMJ Best Health,BMJ Group,Best Health,
BMJ Clinical Evidence,BMJ Group,Clinical Evidence,
BMJ Health Intelligence,BMJ Group,Health Intelligence,1
BMJ Learning,BMJ Group,BMJ Learning,
BMJ Learning/NICE,BMJ Group,BMJ Learning,
BMJ Publishing Group,BMJ Group,,
"BMJ, NHS CRD",BMJ Group,BMJ,
Board of Community Health Councils in Wales,Board of Community Health Councils in Wales,,
Boletin de la Asociacion Medica de Puerto Rico,Asociacion Medica De Puerto Rico,Boletin de la Asociacion Medica de Puerto Rico,
Bolton Primary Care Trust,Bolton Primary Care Trust,,
Bone,Elsevier,Bone,
The Bone and Joint Decade,Bone and Joint Decade,,
Bone Research Society,Bone Research Society,,
The Boorman Review,Boorman Review,,
Boston Consulting Group,Boston Consulting Group,,
Botanical.com,Botanical.com,,
Boys Town National Research Hospital,Boys Town National Research Hospital,,
BPlog,BPlog,,
BPM Institute,BPM Institute,,
Br Cancer,Nature Publishing Group,British Journal of Cancer,
Brain,Oxford University Press,Brain,
Brain & Development,Elsevier,Brain & Development,
Brain and Spinal Injury Centre,Brain and Spinal Injury Centre,,
Brain and Spine Foundation,Brain and Spine Foundation,,
The Brain and Spine Foundation,Brain and Spine Foundation,,
"Brain Research Bulletin, Elsevier",Elsevier,Brain Research Bulletin,
Brazilian Journal of Otorhinolaryngology,ENT Brazilian Society,Brazilian Journal of Otorhinolaryngology,
Breakthrough Breast Cancer,Breakthrough Breast Cancer,,
Breast Cancer Care,Breast Cancer Care,,
Breast Cancer Research,BioMed Central,Breast Cancer Research: BCR,
Brent Sickle Cell and Thalassaemia Centre,Brent Sickle Cell and Thalassaemia Centre,,
Brighton & Hove City Teaching PCT,Brighton and Hove City Teaching PCT,,
Bristol City Council,Bristol City Council,,
Bristol PCT,Bristol PCT,,
Bristol Royal Infirmary Inquiry,Bristol Royal Infirmary Inquiry,,
Bristol University,Bristol University,,
British Academy of Audiology,British Academy of Audiology,,
